eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode
S4Stream ,,kicksampling,1,1,,present,,Animalia,Annelida,Clitellata,Oligochaete,,,,,,KN & JS,,
S4Stream ,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Plecoptera,Capniidae,,,,,KN & JS,,
S5Marsh,,kicksampling,1,1,,present,,Animalia,Annelida,Clitellata,Oligochaete,,,,,,KN & JS,,
S5Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Odonata,,,,,,KN & JS,,
S5Marsh,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,,,KN & JS,,
S5Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,KN & JS,,
S5Stream,,rockrubbing,1,1,,present,,Animalia,Arthropoda,Insetca,Trichoptera,Philopotamidae,,,,,KN & JS,,
S5Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,KN & JS,,
S5Stream,,rockrubbing,1,1,,present,,Animalia,Arthropoda,Insetca,Plecoptera,Capniidae,,,,,KN & JS,,
S6Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Odonata,,,,,,KN & JS,,
