eventID,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitudeSTART,decimalLongitudeSTART,decimalLatitudeEND,decimalLongitudeEND,geodeticDatum,coordinateUncertaintyInMeters,type,ownerInstitutionCode,,,,,
SHS4,sweepnetting,5 Minutes walk along transect,,,13/9/2023,14:05,,"Cloudy,Scrub",Scotland,,,,,,,,,,,,,,,,
SHS5,sweepnetting,5 Minutes walk along transect,,,13/9/2023,14:15,,"Cloudy,Scrub",Scotland,,,,,,,,,,,,,,,,
SHS6,sweepnetting,5 Minutes walk along transect,,,13/9/2023,14:30,,"Slight Drizzle,Scrub with grass understory",Scotland,,,,,,,,,,,,,,,,
SHS7,sweepnetting,5 Minutes walk along transect,,,13/9/2023,14:45,,"Slight Drizzle, Braken",Scotland,,,,,,,,,,,,,,,,
SLP1,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.69921,-5.2847540,,,,,,,,How to interpret event IDs:,,,
SLP2,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.698752,-5.2843240,,,,,,,,First Letter determines the slope:,S= South Slope,N=North Slope,
SLP3,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.697701,-5.283606,,,,,,,,Second Letter determines transect,L=Lower,M=Middle,H=High
SLP4,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.696677,-5.283175,,,,,,,,Third Letter determines the method,S=Sweep-netting,P=Pitfall,
SLP5,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.696407,-5.282793,,,,,,,,,,,
SLP6,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.695976,-5.282267,,,,,,,,,,,
SLP7,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.69541,-5.281645,,,,,,,,,,,
SLP8,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,55.695033,-5.281118,,,,,,,,,,,
SLS1,sweepnetting,5 Minutes walk along transect,,,13/9/2023,10:00,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SLS2,sweepnetting,5 Minutes walk along transect,,,13/9/2023,10:20,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SLS4,sweepnetting,5 Minutes walk along transect,,,13/9/2023,10:40,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SLS5,sweepnetting,5 Minutes walk along transect,,,13/9/2023,11:00,,Stream running through with myrtle,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SLS6,sweepnetting,5 Minutes walk along transect,,,13/9/2023,11:20,,,Scotland,,"Lochranza, Isle of Arran",SouthLow,,,,,,,,,,,,,
SMS1,sweepnetting,5 Minutes walk along transect,,,13/9/2023,13:20,,"Overcast, Semi-improved acidic grassland",Scotland,,"Lochranza, Isle of Arran",SouthMid,55.698429,-5.285998,,,,,,,,,,,
SMS2,sweepnetting,5 Minutes walk along transect,,,13/9/2023,13:40,,"Overcast, Sphagnum acidic grass tormentil soft rush deer grass",Scotland,,"Lochranza, Isle of Arran",SouthMid,55.696893,-5.284945,,,,,,,,,,,
SMS3,sweepnetting,5 Minutes walk along transect,,,13/9/2023,13:50,,"Drizzle, Dense Dead Bracken, Sheet bog",Scotland,,"Lochranza, Isle of Arran",SouthMid,55.696138,-5.284276,,,,,,,,,,,
SMS4,sweepnetting,5 Minutes walk along transect,,,13/9/2023,14:10,,"Drizzle, Near a stream, Deer grass, Heather, Bent Grass",Scotland,,"Lochranza, Isle of Arran",SouthMid,55.695572,-5.283606,,,,,,,,,,,
SMS5,sweepnetting,5 Minutes walk along transect,,,13/9/2023,14:25,,"Drizzle, Sheet Bog. Fallen Birch",Scotland,,"Lochranza, Isle of Arran",SouthMid,55.69549,-5.282205,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
